month,num_ads,total_spend,total_impressions,num_active_pages
2024-01,8049,7373325.5,351589015.5,543
2024-02,7764,5590418.0,262149143.0,680
2024-03,7040,5752080.0,295563996.0,652
2024-04,7908,5775596.0,290107572.5,573
2024-05,8808,10165546.0,409802138.0,687
2024-06,12325,13822087.5,631394915.0,657
2024-07,17673,31226013.5,929544282.5,911
2024-08,33777,34636611.5,1492356243.5,915
2024-09,35893,44378253.5,2044954264.5,877
2024-10,85172,85882264.0,3674073772.5,1261
2024-11,19,2640.5,662990.5,14
