page_name,num_ads,total_spend,total_impressions,avg_spend_per_ad,avg_audience_size,pct_attack_ads,pct_advocacy_ads,pct_issue_ads,first_ad_date,last_ad_date,first_half_spend,second_half_spend
Kamala Harris,55171,82704864.5,2979511669.0,1499.06,429884.25,0.276,0.5745,0.3925,2024-01-17,2024-10-30,1983008.5,80721856.0
Joe Biden,12088,21281156.0,649904011.5,1760.52,609826.09,0.2138,0.4162,0.2775,2024-01-01,2024-10-28,11234895.5,10046260.5
Donald J. Trump,22935,19101332.5,642033599.5,832.85,286358.73,0.1093,0.4961,0.1683,2024-01-01,2024-10-28,2002217.0,17099115.5
Kamala HQ,7564,8149218.0,251977740.5,1077.37,797954.14,0.1687,0.3591,0.0657,2024-07-17,2024-10-28,0,8149218.0
Tim Walz,6581,7637759.5,248711223.0,1160.58,798622.62,0.1883,0.4552,0.0722,2024-08-06,2024-10-28,0,7637759.5
The Daily Scroll,10461,6140619.5,447388799.0,587.0,262350.31,0.4876,0.6027,0.6382,2024-04-03,2024-10-28,342879.0,5797740.5
Future Forward,1210,4267645.0,282615450.5,3526.98,832360.81,0.495,0.8545,0.9298,2024-07-29,2024-10-27,0,4267645.0
Barack Obama,2203,4246498.5,111624909.0,1927.6,810468.39,0.0,0.3568,0.1525,2024-08-21,2024-10-28,0,4246498.5
America PAC,1243,3268528.5,90607887.0,2629.55,359217.87,0.2357,0.4344,0.2478,2024-07-08,2024-10-28,0,3268528.5
"Robert F. Kennedy, Jr",1755,2631972.5,158005641.0,1499.7,920528.29,0.1316,0.6308,0.4382,2024-01-03,2024-10-28,1651502.0,980470.5
Working America,2814,2558943.0,241508624.5,909.36,731692.74,0.1269,0.9193,0.9417,2024-04-26,2024-10-27,2887.0,2556056.0
Biden-Harris HQ,2173,2408913.5,72373914.5,1108.57,705889.4,0.3948,0.2016,0.2204,2024-01-05,2024-07-18,1731498.5,677415.0
The Voices of Today,838,2294081.0,172253106.5,2737.57,409561.44,0.5418,0.6504,0.5621,2024-06-28,2024-10-28,0,2294081.0
JD Vance,2180,1657910.0,69756917.0,760.51,332740.46,0.0216,0.4674,0.1739,2024-07-17,2024-10-28,0,1657910.0
Lara Trump,1075,1380212.5,49090467.5,1283.92,462949.43,0.1572,0.7684,0.253,2024-04-02,2024-10-26,481316.0,898896.5
Rally by Relentless,3186,1351057.0,29575407.0,424.06,488999.8,0.3861,0.1864,0.0986,2024-07-30,2024-10-28,0,1351057.0
Alina Habba,1073,1201763.5,40909467.5,1120.0,431878.51,0.0671,0.4212,0.0149,2024-07-10,2024-10-26,0,1201763.5
Americans for Prosperity,1544,1002428.0,115846238.0,649.24,168124.36,0.5764,0.6703,0.908,2024-01-11,2024-08-29,610925.0,391503.0
ParentsTogether Action,2111,881144.5,61530447.0,417.41,559532.56,0.0758,0.6177,0.613,2024-08-06,2024-11-03,0,881144.5
Forward Blue,1658,861171.0,28415171.0,519.4,793154.32,0.3987,0.6508,0.5133,2024-01-28,2024-10-25,595.0,860576.0
Right For America PAC,965,820667.5,33133517.5,850.43,278146.25,0.7751,0.2073,0.9482,2024-08-26,2024-10-28,0,820667.5
Headlines 2024,1463,740868.5,74562771.5,506.4,386980.04,0.2427,0.4327,0.3028,2024-06-28,2024-10-11,0,740868.5
MoveOn,3277,670111.5,28254862.5,204.49,700134.37,0.5047,0.9081,0.4464,2024-01-10,2024-10-28,99705.5,570406.0
Truly American,1252,528474.0,26732377.0,422.1,995807.7,0.0,0.0104,0.0,2024-04-30,2024-09-26,29133.0,499341.0
Liberty Defender Group,1243,524678.5,32537884.0,422.11,1000001.0,0.0821,0.2888,0.0499,2024-01-01,2024-02-28,524678.5,0
I Love My Freedom,1094,394053.0,27873958.0,360.19,1000001.0,0.0037,0.0155,0.0064,2024-01-16,2024-10-29,64907.0,329146.0
AIPAC,1082,334209.0,11701460.0,308.88,939330.89,0.0,0.9982,1.0,2024-01-04,2024-09-25,326711.0,7498.0
John Fetterman,1493,320153.5,7390753.5,214.44,920936.0,0.4414,0.8413,0.3744,2024-01-23,2024-10-28,48523.5,271630.0
Women's March,2573,271763.5,9472713.5,105.62,862825.45,0.7225,0.8131,0.9126,2024-01-24,2024-10-28,63561.0,208202.5
Liberators United,1264,119168.0,4915868.0,94.28,1000001.0,0.7856,0.0087,0.0,2024-04-12,2024-09-10,51416.0,67752.0
Mark Evans,817,72291.5,1375091.5,88.48,1000001.0,0.0967,0.8654,0.0,2024-08-24,2024-10-28,0,72291.5
The Conservative Opinion,965,72267.5,3200517.5,74.89,1000001.0,0.1316,0.0487,0.0383,2024-06-06,2024-09-02,0,72267.5
